iter	Passed	Remaining
0	51	5067
1	92	4542
2	127	4124
3	163	3920
4	206	3922
5	256	4026
6	307	4086
7	356	4100
8	396	4012
9	441	3970
10	479	3880
11	513	3766
12	548	3671
13	581	3570
14	615	3485
15	653	3432
16	687	3356
17	730	3326
18	778	3320
19	829	3319
20	888	3341
21	941	3336
22	979	3278
23	1014	3213
24	1045	3136
25	1129	3213
26	1185	3204
27	1221	3141
28	1256	3076
29	1290	3010
30	1323	2945
31	1360	2890
32	1395	2833
33	1432	2780
34	1470	2731
35	1503	2673
36	1536	2616
37	1573	2566
38	1610	2518
39	1642	2463
40	1677	2413
41	1709	2361
42	1747	2316
43	1781	2266
44	1815	2218
45	1850	2171
46	1885	2126
47	1927	2087
48	1958	2038
49	1992	1992
50	2028	1948
51	2058	1900
52	2090	1854
53	2128	1812
54	2160	1768
55	2191	1721
56	2233	1684
57	2266	1640
58	2304	1601
59	2340	1560
60	2376	1519
61	2413	1479
62	2450	1439
63	2483	1396
64	2514	1353
65	2550	1314
66	2587	1274
67	2621	1233
68	2655	1193
69	2688	1152
70	2723	1112
71	2758	1072
72	2791	1032
73	2825	992
74	2863	954
75	2897	914
76	2930	875
77	2963	835
78	2997	796
79	3031	757
80	3067	719
81	3110	682
82	3151	645
83	3195	608
84	3235	571
85	3272	532
86	3318	495
87	3366	459
88	3405	420
89	3446	382
90	3483	344
91	3522	306
92	3565	268
93	3611	230
94	3656	192
95	3703	154
96	3743	115
97	3780	77
98	3819	38
99	3863	0
